administration,nom,prenom,civilite,fonction,type_organisme,modification,commentaires
Conseillers pôle diplomatique,DUTERTRE,Alexis,M.,Conseiller Europe,Institution,,
Conseillers pôle diplomatique,ROBERT,Jérémie,M.,Conseiller Afrique,Institution,,
Conseillers pôle diplomatique,CATTUTI,Dora,Mme,"Conseillère Afrique du Nord, Moyen-Orient",Institution,,
Conseillers pôle diplomatique,BUCHWALTER,Bertrand,M.,Conseiller Europe continentale - Turquie,Institution,,
Conseillers pôle diplomatique,LE SAOS,Julie,Mme,"Conseiller Asie, Océanie et Amériques",Institution,,
Conseillers pôle diplomatique,MORFOUACE DE BROUCKER,Camille,Mme,Conseillère affaires globales,Institution,,
Conseillers pôle diplomatique,ROUSSEAU,Gabrielle,Mme,Conseillère technique Affaires globales,Institution,,
Conseillers pôle diplomatique,MAISONNAVE,Alix,Mme,Conseillère technique Europe,Institution,,
Conseillers pôle diplomatique,PARIDIMAL,Éric,M.,Conseiller technique Europe,Institution,,
Conseillers pôle diplomatique,SOLER,Paul,M.,"Conseiller, envoyé spécial pour la Libye",Institution,,
Conseillers pôle diplomatique,CHATEL DE BRANCION,Xavier,M.,Conseiller chargé des affaires stratégiques et de désarmement,Institution,,
Conseillers pôle régalien,NGUYEN,Muriel,Mme,"Conseillère Intérieur, sécurité",Institution,,
Conseillers pôle régalien,RONSIN,Xavier,M.,Conseiller justice,Institution,,
Conseillers pôle régalien,GAMGANI,Lisa,Mme,Conseillère institutions et action publique,Institution,,
Conseillers pôle régalien,JACOB,Olivier,M.,Conseiller Outre-mer,Institution,,
Cabinet du président de la République,IMBERT,Pierre-André,M.,Secrétaire général,Institution,,
Cabinet du président de la République,GIRAUD,Vincent,M.,Chef de l'état-major particulier,Institution,,
Cabinet du président de la République,ROSE,Frédéric,M.,Directeur du cabinet,Institution,,
Cabinet du président de la République,BONNE,Emmanuel,M.,"Conseiller diplomatique, sherpa G20, sherpa G7",Institution,,
Cabinet du président de la République,LANDON,Matthieu,M.,Secrétaire général adjoint,Institution,,
Cabinet du président de la République,DE VITRY,Geoffroy,M.,Secrétaire général adjoint,Institution,,
Cabinet du président de la République,BROMET,Tristan,M.,Conseiller spécial,Institution,,
Cabinet du président de la République,DESBOIS,Yannick,M.,"Directeur adjoint du cabinet, directeur général des services",Institution,,
Cabinet du président de la République,CARRIÉ,Laurent,M.,Chef du cabinet,Institution,,
Cabinet du président de la République,SAMOYAULT,Sibylle,Mme,Cheffe du cabinet adjointe,Institution,,
Cabinet du président de la République,CUSSEMANE,Claire,Mme,Cheffe de cabinet adjointe,Institution,,
Cabinet du président de la République,PART,Juliette,Mme,Cheffe de cabinet adjointe,Institution,,
Cabinet du président de la République,ROGER-PETIT,Bruno,M.,Conseiller Mémoire,Institution,,
Cabinet du président de la République,BESSIÈRE,Pierre-Gaël,M.,Conseiller,Institution,,
Cabinet du président de la République,TRICCA,Malo,M.,Conseiller technique auprès du secrétaire général,Institution,,
Cabinet du président de la République,SALVADOR,Sébastien,M.,Commandant militaire,Institution,,
Conseillers pôle économie,LANDON,Matthieu,M.,Conseiller économie,Institution,,
Conseillers pôle économie,VERNET-GARNIER,Claire,Mme,"Conseillère industrie, innovation, numérique et participations publiques",Institution,,
Conseillers pôle économie,LENOIR,Clémence,Mme,Conseillère Macro-économie et politiques publiques,Institution,,
Conseillers pôle économie,VANDEVILLE,Victoire,Mme,"Conseillère attractivité, export, politiques commerciales et tourisme",Institution,,
Conseillers pôle économie,,,,"Conseiller petites et moyennes entreprises, consommation, économie responsable",Institution,,
Conseillers pôle politique et parlementaire,PERROT,Pierrick,M.,Conseiller parlementaire,Institution,,
Conseillers pôle politique et parlementaire,POTTON,Grégoire,M.,Conseiller,Institution,,
"Conseillers pôle écologie, agriculture, énergie, transports, logement",,,,"Conseiller Énergie, environnement, transports et agriculture",Institution,,
"Conseillers pôle écologie, agriculture, énergie, transports, logement",VANT,Xavier,M.,Conseiller agriculture,Institution,,
"Conseillers pôle écologie, agriculture, énergie, transports, logement",CLAUSSET,Nicolas,M.,Conseiller énergie,Institution,,
"Conseillers pôle écologie, agriculture, énergie, transports, logement",,,,Conseiller Écologie,Institution,,
"Conseillers pôle écologie, agriculture, énergie, transports, logement",,,,Conseiller transport,Institution,,
"Conseillers pôle écologie, agriculture, énergie, transports, logement",,,,Conseiller logement,Institution,,
"Conseillers pôle éducation nationale, enseignement supérieur, recherche et innovation, sports, culture",HALBOUT,Gilles,M.,Conseiller Education et enseignement supérieur,Institution,,
"Conseillers pôle éducation nationale, enseignement supérieur, recherche et innovation, sports, culture",ELMAN,William,M.,Conseiller,Institution,,
"Conseillers pôle éducation nationale, enseignement supérieur, recherche et innovation, sports, culture",IDIER,Nicolas,M.,Conseiller,Institution,,
Conseillers pôle communication,GUÉMAS,Jonathan,M.,Conseiller spécial Communication et stratégie,Institution,,
Conseillers pôle communication,BAYARD,Jonas,M.,Conseiller communication,Institution,,
Conseillers pôle communication,ROSSI,Baptiste,M.,Conseiller discours,Institution,,
Conseillers pôle communication,ROZIER,Guillaume,M.,Conseiller veille numérique et données,Institution,,
Conseillers pôle communication,ALEXANIAN,Olivier,M.,Conseiller opinion,Institution,,
Conseillers pôle communication,DE LA MOISSONNIÈRE,Soazig,Mme,Conseillère en charge de l'image,Institution,,
Conseillers pôle Social et santé,,,,Conseiller,Institution,,
Conseillers pôle Social et santé,,,,Conseiller social,Institution,,
