code_departement,code_canton,libelle_canton,nom,prenom,genre,date_naissance,code_CSP,fonction,age,modification,commentaires
1,114,Nantua,DEGUERRY,Jean,M,1963-11-22,46,Président du conseil départemental,62,,
2,219,Vervins,FRICOTEAUX,Nicolas,M,1962-05-27,74,Président du conseil départemental,64,,
3,303,Commentry,RIBOULET,Claude,M,1975-04-14,31,Président du conseil départemental,51,,
4,412,Riez,BARREILLE,Eliane,F,1951-04-04,74,Président du conseil départemental,75,,
5,515,Veynes,BERNARD,Jean-Marie,M,1948-09-13,74,Président du conseil départemental,77,,
6,626,Vence,GINESY,Charles Ange,M,1956-05-14,22,Président du conseil départemental,70,,
7,707,Guilherand-Granges,AMRANE,Olivier,M,1978-03-23,33,Président du conseil départemental,48,,
8,801,Attigny,BOURGEOIS,Noël,M,1957-12-27,74,Président du conseil départemental,68,,
9,903,Couserans Est,TEQUI,Christine,F,1963-10-10,38,Président du conseil départemental,62,,
10,1003,Bar-Sur-Aube,DALLEMAGNE,Philippe,M,1962-09-05,77,Président du conseil départemental,63,,
11,1113,Narbonne-3,SANDRAGNÉ,Hélène,F,1960-01-23,74,Président du conseil départemental,66,,
12,1215,Raspes Et Lévezou,VIALA,Arnaud,M,1974-12-04,33,Président du conseil départemental,51,,
13,1321,Marseille-10,VASSAL,Martine,F,1962-03-29,33,Président du conseil départemental,64,,
14,1402,Bayeux,DUPONT,Jean-Léonce,M,1955-01-31,74,Président du conseil départemental,71,,
15,1508,Naucelles,FAURE,Bruno,M,1967-05-05,38,Président du conseil départemental,59,,
17,1703,Châtelaillon-Plage,MARCILLY,Sylvie,F,1966-02-11,23,Président du conseil départemental,60,,
18,1806,Bourges-4,FLEURY,Jacques,M,1954-02-22,74,Président du conseil départemental,72,,
19,1910,Midi Corrézien,COSTE,Pascal,M,1966-09-13,11,Président du conseil départemental,59,,
21,2122,Semur-En-Auxois,SAUVADET,François,M,1953-04-20,74,Président du conseil départemental,73,,
22,2203,Callac,COAIL,Christian,M,1953-06-26,74,Président du conseil départemental,73,,
23,2303,Auzances,SIMONET,Valérie,F,1966-10-26,31,Président du conseil départemental,59,,
24,2423,Vallée Dordogne,PEIRO,Germinal,M,1953-09-15,75,Président du conseil départemental,72,,
25,2512,Maîche,BOUQUIN,Christine,F,1962-02-23,85,Président du conseil départemental,64,,
27,2713,Gisors,RASSAËRT,Alexandre,M,1987-09-17,85,Président du conseil départemental,38,,
28,2808,Dreux-1,LE DORVEN,Christophe,M,1978-01-12,37,Président du conseil départemental,48,,
29,2926,Saint-Pol-De-Léon,DE CALAN,Maël,M,1980-04-30,37,Président du conseil départemental,46,,
30,3015,Quissac,LAURENT-PERRIGOT,Françoise,F,1950-02-27,12,Président du conseil départemental,76,,
31,3101,Auterive,VINCINI,Sebastien,M,1978-03-25,33,Président du conseil départemental,48,,
32,3211,Gimone-Arrats,DUPOUY,Philippe,M,1960-07-12,74,Président du conseil départemental,66,,
33,3329,Le Sud-Gironde,GLEYZE,Jean-Luc,M,1962-06-16,33,Président du conseil départemental,64,,
34,3424,Saint-Pons-De-Thomières,MESQUIDA,Kléber,M,1945-08-03,74,Président du conseil départemental,80,,
35,3524,Le Rheu,CHENUT,Jean-Luc,M,1960-03-29,33,Président du conseil départemental,66,,
36,3605,Châteauroux-1,FLEURET,Marc,M,1968-02-19,33,Président du conseil départemental,58,,
37,3713,Sainte-Maure-De-Touraine,ARNAULT,Nadège,F,1957-07-29,77,Président du conseil départemental,68,,
38,3801,Bièvre,BARBIER,Jean-Pierre,M,1960-11-11,31,Président du conseil départemental,65,,
39,3910,Mont-Sous-Vaudrey,FASSENET,Gérôme,M,1976-12-14,12,Président du conseil départemental,49,,
40,4003,Côte D'Argent,FORTINON,Xavier,M,1962-08-18,33,Président du conseil départemental,63,,
41,4114,Vendôme,GOUET,Philippe,M,1956-04-24,31,Président du conseil départemental,70,,
42,4214,Saint-Etienne-1,ZIEGLER,Georges,M,1949-10-20,74,Président du conseil départemental,76,,
43,4311,Plateau Du Haut-Velay Granitique,PETIT,Marie-Agnès,F,1962-01-24,47,Président du conseil départemental,64,,
44,4417,Nantes-7,MENARD,Michel,M,1961-05-20,34,Président du conseil départemental,65,,
45,4517,Pithiviers,GAUDET,Marc,M,1964-04-23,12,Président du conseil départemental,62,,
46,4604,Causse Et Bouriane,RIGAL,Serge,M,1957-02-06,86,Président du conseil départemental,69,,
47,4714,Marmande-2,BORDERIE,Sophie,F,1966-03-23,43,Président du conseil départemental,60,,
48,4809,Mende-1,SUAU,Laurent,M,1964-08-26,74,Président du conseil départemental,61,,
49,4912,Cholet-1,DABIN,Florence,F,1979-03-27,34,Président du conseil départemental,47,,
50,5011,Créances,MORIN,Jean,M,1955-05-21,75,Président du conseil départemental,71,,
51,5119,Reims-9,ROZE,Jean-Marc,M,1948-12-10,72,Président du conseil départemental,77,,
52,5201,Bologne,LACROIX,Nicolas,M,1976-01-18,85,Président du conseil départemental,50,,
53,5316,Saint-Berthevin,RICHEFOU,Olivier,M,1959-04-04,72,Président du conseil départemental,67,,
54,5413,Nancy-2,KHIROUNI,Chaynesse,F,1968-03-17,37,Président du conseil départemental,58,,
55,5517,Verdun-2,DUMONT,Jérôme,M,1977-03-15,45,Président du conseil départemental,49,,
56,5618,Séné,LAPPARTIENT,David,M,1973-05-31,85,Président du conseil départemental,53,,
57,5727,Yutz,WEITEN,Patrick,M,1954-07-01,74,Président du conseil départemental,72,,
58,5804,Corbigny,BAZIN,Fabien,M,1967-01-10,33,Président du conseil départemental,59,,
59,5915,Douai,POIRET,Christian,M,1957-11-12,74,Président du conseil départemental,68,,
60,6002,Beauvais-2,LEFEBVRE,Nadège,F,1960-10-25,33,Président du conseil départemental,65,,
61,6117,Écouves,DE BALORRE,Christophe,M,1958-07-26,74,Président du conseil départemental,67,,
62,6233,Lumbres,LEROY,Jean-Claude,M,1952-06-03,74,Président du conseil départemental,74,,
63,6309,Châtel-Guyon,CHAUVIN,Lionel,M,1971-11-29,31,Président du conseil départemental,54,,
64,6422,"Pays De Bidache, Amikuze Et Ostibarre",LASSERRE,Jean-Jacques,M,1944-03-11,71,Président du conseil départemental,82,,
65,6508,"Neste, Aure Et Louron",PÉLIEU,Michel,M,1946-06-26,74,Président du conseil départemental,80,,
66,6601,Les Aspres,MALHERBE,Hermeline,F,1969-02-18,37,Président du conseil départemental,57,,
69,6905,Brignais,GUILLOTEAU,Christophe,M,1958-06-18,86,Président du conseil départemental,68,,
6AE,6711,Mutzig,BIERRY,Frédéric,M,1966-04-21,85,Président du conseil départemental,60,,
70,7010,Mélisey,SEGUIN,Laurent,M,1963-11-14,77,Président du conseil départemental,62,,
71,7125,Paray-Le-Monial,ACCARY,André,M,1966-06-08,33,Président du conseil départemental,60,,
72,7218,Saint-Calais,LE MENER,Dominique,M,1958-11-12,86,Président du conseil départemental,67,,
73,7303,Albertville-1,GAYMARD,Hervé,M,1960-05-31,33,Président du conseil départemental,66,,
74,7405,Bonneville,SADDIER,Martial,M,1969-10-15,85,Président du conseil départemental,56,,
76,7622,Mont-Saint-Aignan,BELLANGER,Bertrand,M,1959-12-22,23,Président du conseil départemental,66,,
77,7710,Meaux,PARIGI,Jean-François,M,1960-01-25,74,Président du conseil départemental,66,,
78,7808,Mantes-La-Jolie,BEDIER,Pierre,M,1957-09-30,23,Président du conseil départemental,68,,
79,7906,La Gâtine,DENOUES,Coralie,F,1983-10-25,23,Président du conseil départemental,42,,
80,8014,Doullens,HIVER,Christelle,F,1973-01-24,33,Président du conseil départemental,53,,
