administration,nom,prenom,civilite,fonction,type_organisme,modification,commentaires
Ministère des Transports,TABAROT,Philippe,M.,Ministre,Administration centrale (ou Ministère),,
Ministère des Armées et des Anciens combattants,VAUTRIN,Catherine,Mme,Ministre,Administration centrale (ou Ministère),,
"Ministère des petites et moyennes Entreprises, du Commerce, de l'Artisanat, du Tourisme et du Pouvoir d'achat",PAPIN,Serge,M.,Ministre,Administration centrale (ou Ministère),,
"Ministre délégué auprès du Premier ministre, chargé des relations avec le Parlement",PANIFOUS,Laurent,M.,Ministre délégué,Secrétaire d'État,,
Ministère des Outre-mer,MOUTCHOU,Naïma,Mme,Ministre,Administration centrale (ou Ministère),,
"Ministre délégué auprès du ministre de l’Europe et des Affaires étrangères, chargé de l'Europe",HADDAD,Benjamin,M.,Ministre délégué,Administration centrale (ou Ministère),,
"Ministère des Sports, de la Jeunesse et de la Vie associative",FERRARI,Marina,Mme,Ministre,Administration centrale (ou Ministère),,
"Ministère de l’Agriculture, de l'Agro-alimentaire et de la Souveraineté alimentaire",GENEVARD,Annie,Mme,Ministre,Administration centrale (ou Ministère),,
"Ministre déléguée auprés de la Ministre de la transition écologique, de la biodiversité et des négociations internationales sur le climat et la nature, chargée de la Mer et de la Pêche",CHABAUD,Catherine,Mme,Ministre déléguée,Administration centrale (ou Ministère),,
"Ministre délégué auprès de la ministre de l’Aménagement du territoire et de la Décentralisation, chargé de la ruralité",FOURNIER,Michel,M.,Ministre délégué,Administration centrale (ou Ministère),,
"Ministre délégué auprès du ministre de l’Europe et des Affaires étrangères, chargé du commerce extérieur et de l'attractivité",FORISSIER,Nicolas,M.,Ministre délégué,Administration centrale (ou Ministère),,
"Ministère de l’Enseignement supérieur, de la Recherche et de l'Espace",BAPTISTE,Philippe,M.,Ministre,Administration centrale (ou Ministère),,
"Ministre déléguée auprès du ministre de l'Intérieur, chargée de la citoyenneté",VEDRENNE,Marie-Pierre,M.,Ministre déléguée,Administration centrale (ou Ministère),,
"Ministre déléguée auprès de la ministre des Armées et des Anciens combattants, chargée de la mémoire et des anciens combattants",RUFO,Alice,Mme,Ministre déléguée,Administration centrale (ou Ministère),,
"Ministre déléguée auprès du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique, chargée de l'intelligence artificielle et du numérique",LE HÉNANFF,Anne,Mme,Ministre déléguée,Administration centrale (ou Ministère),,
"Ministre déléguée auprès du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique, chargée de l'énergie",BREGEON,Maud,Mme,Ministre déléguée,Administration centrale (ou Ministère),,
Ministère du Travail et des Solidarités,FARANDOU,Jean-Pierre,M.,Ministre,Administration centrale (ou Ministère),,
"Ministre déléguée auprès du Premier Ministre, chargée de l'égalité entre les femmes et les hommes et de la lutte contre les discriminations",BERGÉ,Aurore,Mme,Ministre déléguée,Administration centrale (ou Ministère),,
"Ministère de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique",LESCURE,Roland,M.,Ministre,Administration centrale (ou Ministère),,
"Ministère de la Santé, des Familles, de l’Autonomie et des Personnes handicapées",RIST,Stéphanie,Mme,Ministre,Administration centrale (ou Ministère),,
"Ministre délégué auprès du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique, chargé de l’industrie",MARTIN,Sébastien,M.,Ministre délégué,Administration centrale (ou Ministère),,
Ministre délégué auprès du ministre de l'Intérieur,BERGER,Jean-Didier,M.,Ministre délégué,Administration centrale (ou Ministère),,
Ministère de la Justice,DARMANIN,Gérald,M.,"Garde des Sceaux, ministre",Administration centrale (ou Ministère),,
"Ministère de la Transition écologique, de la Biodiversité et des Négociations internationales sur le Climat et la Nature",BARBUT,Monique,Mme,Ministre,Administration centrale (ou Ministère),,
"Ministre déléguée auprès du Premier ministre, porte-parole du Gouvernement",BREGEON,Maud,Mme,"Ministre déléguée auprès du Premier ministre, porte-parole du Gouvernement",Administration centrale (ou Ministère),,
Premier ministre,LECORNU,Sébastien,M.,Premier ministre,Administration centrale (ou Ministère),,
Ministère de l'Europe et des Affaires étrangères,BARROT,Jean-Noël,M.,Ministre,Administration centrale (ou Ministère),,
