"administration","nom","prenom","civilite","fonction","type_organisme","modification","commentaires"
"Cabinet du ministre de l’Enseignement supérieur, de la Recherche, et de l'Espace","PANNIER","Pauline","Mme","Directrice du cabinet","Cabinet ministériel","",""
"Cabinet du ministre de l'Intérieur","CHARBONNEAU","Magali","Mme","Directrice du cabinet","Cabinet ministériel","",""
"Cabinet du ministre de la Ville et du Logement","DUPARC","Franck","M.","Directeur du cabinet","Administration centrale (ou Ministère)","",""
"Cabinet civil et militaire de la ministre des Armées et des Anciens combattants","LEGRAS","Claire","Mme","Directrice du cabinet","Cabinet ministériel","",""
"Cabinet du ministre de l'Action et des Comptes publics","DURRIEU","Claire","Mme","Directrice de cabinet","Cabinet ministériel","",""
"Cabinet de la ministre de la Transition écologique, de la Biodiversité et des Négociations internationales sur le Climat et la Nature","LASSERRE","Virginie","Mme","Directrice du cabinet","Cabinet ministériel","",""
"Cabinet du ministre délégué auprès du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique, chargé de l’industrie","SUSTER","Laurent","M.","Directeur de cabinet","Cabinet ministériel","",""
"Cabinet de la ministre déléguée auprès de la ministre des Armées et des Anciens combattants, chargée de la mémoire et des anciens combattants","ESCORCIA","Alexandre","M.","Directeur du cabinet","Cabinet ministériel","",""
"Cabinet de la ministre de la Santé, des Familles, de l’Autonomie et des Personnes handicapées","ALTER","Lise","Mme","Directrice du cabinet","Administration centrale (ou Ministère)","",""
"Cabinet du ministre délégué auprès du ministre de l’Europe et des Affaires étrangères, chargé de l'Europe","PEYROUX","Thierry","M.","Directeur du cabinet","Cabinet ministériel","",""
"Cabinet du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique","MONNET","Emmanuel","M.","Directeur du cabinet","Cabinet ministériel","",""
"Cabinet du Premier ministre","GUSTIN","Philippe","M.","Directeur du cabinet","Cabinet ministériel","",""
"Cabinet de la ministre déléguée auprès du ministre de l'Intérieur","LEPIDI","Dominique","M.","Directeur du cabinet","Administration centrale (ou Ministère)","",""
"Cabinet du ministre du Travail et des Solidarités","VILLARD","Renaud","M.","Directeur du cabinet","Administration centrale (ou Ministère)","",""
"Cabinet du ministre des Transports","PANAHI","Katayoune","Mme","Directrice de cabinet","Cabinet ministériel","",""
"Cabinet du ministre délégué auprès du ministre de l'intérieur","HESSE","Nicolas","M.","Directeur de cabinet","Administration centrale (ou Ministère)","",""
"Cabinet de la ministre déléguée auprès du ministre du travail et des solidarités","DUCHÊNE","Thibaut","M.","Directeur de cabinet","Administration centrale (ou Ministère)","",""
"Cabinet de la ministre des Sports, de la Jeunesse et de la Vie associative","REY","Jean-Philippe","M.","Directeur du cabinet","Cabinet ministériel","Modifié","Non renseigné"
